id,title,company,industry,location,salary,job_type,experience,education,posting_date,source,description,requirements,url
10644891,អ្នកបកប្រែចិន រដ្ឋបាល រោងចក្រអំពូលភ្លើង 中柬翻译，灯具厂管理 $600 up,"PRIME MASTER LITE (CAMBODIA) CO., LTD.",Electronics/Electrical/Mechanical Equipment,Kampong Speu,$500-$999,Full Time,Function,Associate Degree,Term,CamHR,工作描述 . 负责招聘、入职和人事档案管理。 . 管理考勤、休假、加班和人力资源文件。 . 协助薪资准备和员工福利管理。 . 协助处理员工关系、纪律和工作场所相关问题。 . 协调工厂行政事务：制服、用品、设施、宿舍/交通。 . 为讲中文的管理人员/员工翻译文件并提供口译服务。 . 就人力资源/行政事务与供应商、代理机构和政府部门联络。 ការពិពណ៌នាការងារ * មានទំនួលខុសត,Job Requirements 1. 能说读写中文 2. 会使用计算机与​ Microsoft office Word/Excel/Power​Point​/Outlook软件 3. 学历需求：大学(科系不限，有工程背景尤佳) - អាចនិយាយ អាចអាន និងសរសេរភាសាចិនបាន។ - អាចប្រើប្រាស់កុំព្យូទ័រ និងកម្មវិធី Microsoft,https://www.camhr.com/a/job/10644891?title=%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%94%E1%9E%80%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9F%82%E1%9E%85%E1%9E%B7%E1%9E%93%20%E1%9E%9A%E1%9E%8A%E1%9F%92%E1%9E%8B%E1%9E%94%E1%9E%B6%E1%9E%9B%E2%80%8B%20%E1%9E%9A%E1%9F%84%E1%9E%84%E1%9E%85%E1%9E%80%E1%9F%92%E1%9E%9A%E1%9E%A2%E1%9F%86%E1%9E%96%E1%9E%BC%E1%9E%9B%E1%9E%97%E1%9F%92%E1%9E%9B%E1%9E%BE%E1%9E%84%20%E4%B8%AD%E6%9F%AC%E7%BF%BB%E8%AF%91%EF%BC%8C%E7%81%AF%E5%85%B7%E5%8E%82%E7%AE%A1%E7%90%86%20$600%20up
10641322,Project Engineer ( SALE ENGINEER),BMB & A (CAMBODIA) JOINT STOCK COMPANY,Architecture/Building/Construction,Phnom Penh,Negotiable,- Experience: at least 2 year experience as in construction,Function,Bachelor Degree,Term,CamHR,- Assist Project Manager to find customer and project- Good Communication with Client by English and Khmer (Can Speak Chinese more priority)- Develop and maintain relationship with new and existing cl,"Job Requirements * Skills: - Sale experience - Civil-Engineer - Negotiation - Good Communication - Good computer skill (AutoCAD & MS Office, Outlook and Project) - Proficient Chinese and English - Bas",https://www.camhr.com/a/job/10641322?title=Project%20Engineer%20(%20SALE%20ENGINEER)
10646160,ផ្នែកលក់ ( នៅក្នុងហាងលក់សម្លៀកបំពាក់នារី ),ELISABETTA FRANCHI,Clothing/Garment/Textile,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,** ការពិពណ៌នាការងារ៖ - ស្វែងយល់ពីតម្រូវការរបស់អតិថិជន និងកំណត់ឱកាសលក់ - ឆ្លើយសំណួររបស់អតិថិជនអោយត្រូវតាមតម្រូវការ និងការផ្ញើព័ត៌មានបន្ថែមក្នុងអ៊ីមែល - តាមដានព័ត៌មានផលិតផល និងសេវាកម្ម និងការអាប់ដេត - ប,Job Requirements ** តម្រូវការការងារ៖ - មានបទពិសោធន៏ផ្នែកលក់យ៉ាងតិចមួយឆ្នាំ - មានជំនាញក្នុងការទំនាក់ទំនង ទាំងការនិយាយ និងសរសេរ - មានភាពរួសរាយរាក់ទាក់ - មានសម្ថភាពដោះស្រាយបញ្ហា ** អត្ថប្រយោជន៍ដែលទទួលបាន,https://www.camhr.com/a/job/10646160?title=%E1%9E%95%E1%9F%92%E1%9E%93%E1%9F%82%E1%9E%80%E1%9E%9B%E1%9E%80%E1%9F%8B%20(%20%E1%9E%93%E1%9F%85%E1%9E%80%E1%9F%92%E1%9E%93%E1%9E%BB%E1%9E%84%E1%9E%A0%E1%9E%B6%E1%9E%84%E1%9E%9B%E1%9E%80%E1%9F%8B%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%9B%E1%9F%80%E1%9E%80%E1%9E%94%E1%9F%86%E1%9E%96%E1%9E%B6%E1%9E%80%E1%9F%8B%E1%9E%93%E1%9E%B6%E1%9E%9A%E1%9E%B8%20)
10646161,អ្នកគ្រប់គ្រងផេក Marketing ( Digital Marketing),ELISABETTA FRANCHI,Clothing/Garment/Textile,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,• ចេះគ្រប់គ្រងទំព័រហ្វេកប៊ុក/ផេក វេបសាយ / Instagram យូធូប។ល។ • បង្កើត និងផលិតវីដេអូ និងរូបភាព (poster) ផ្សេងៗដើម្បីប្រើប្រាស់ និងបង្ហោះនៅក្នុងទំព័រហ្វេកប៊ុក/ផេក វេបសាយ/ Instagram /យូធូប។ • សរសេរអត្ថបទ,Job Requirements • មានសញ្ញាប័ត្រផ្នែកប្រព័ន្ធផ្សព្វផ្សាយ (Communication and Media) • មានបទពិសោធន៍ការងារផ្នែកប្រព័ន្ធផ្សព្វផ្សាយ (ហ្វេកប៊ុក/ផេក វេបសាយ Instagram និងយូធូប) កាត់ត វីដេអូ និងរចនារូបភាពផ្សេ,https://www.camhr.com/a/job/10646161?title=%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%82%E1%9F%92%E1%9E%9A%E1%9E%94%E1%9F%8B%E1%9E%82%E1%9F%92%E1%9E%9A%E1%9E%84%E1%9E%95%E1%9F%81%E1%9E%80%20Marketing%20(%20Digital%20Marketing)
10646162,អ្នកគ្រប់គ្រងហាង Store Manager,ELISABETTA FRANCHI,Clothing/Garment/Textile,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,• To make OP for each staff to archive monthly sales target. • To make composition of shelf display each product depends on seasonal event. • To control purchasing and ordering product while checking ,N/A,https://www.camhr.com/a/job/10646162?title=%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%82%E1%9F%92%E1%9E%9A%E1%9E%94%E1%9F%8B%E1%9E%82%E1%9F%92%E1%9E%9A%E1%9E%84%E1%9E%A0%E1%9E%B6%E1%9E%84%20Store%20Manager
10646041,Senior Accountant and Tax Officer,"Mega F&B Co., LTD",Catering,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"- Manage all aspect of accounting (AP, AR, Billing, Journal Entries, Bank Reconciliation, Cash Applications, Collections, and Payroll) - Responsible for delivering timely and accurate financial proces","Job Requirements - Bachelor in Finance Accounting, Business Management or any related field. - 3 to 5yrs experience in Finance Accounting - Good in figure analysis and data interpretation - Good in Qu",https://www.camhr.com/a/job/10646041?title=Senior%20Accountant%20and%20Tax%20Officer
10646124,Assistance to Manager (Chinese speaking) 500$~700$,vivo Cambodia,Telecommunication,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,- Strong analytical and problem-solving skills . - Ability to work independently and as part of a team,"Job Requirements Benefit - Full attendance award, KPI award, Annual bonus, Yearly salary increase, birthday pocket, team building, other benefit follow HR policy. - 18 days of annual leave, Maternity ",https://www.camhr.com/a/job/10646124?title=Assistance%20to%20Manager%20(Chinese%20speaking)%20500$~700$
10646125,អ្នកដុតនំ (500$~700$),vivo Cambodia,Telecommunication,Phnom Penh,Negotiable,Full Time,Function,Others,Term,CamHR,N/A,N/A,https://www.camhr.com/a/job/10646125?title=%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%8A%E1%9E%BB%E1%9E%8F%E1%9E%93%E1%9F%86%20(%E2%80%8B500$~700$)
10646103,មន្ត្រីជំនាញ ចំនួន ២រូប សម្រាប់ផ្នែកអន្តរកែទម្រង់,Ministry of Economy and Finance (PFM),Government,Phnom Penh,Negotiable,o សិក្សានិងកំណត់នូវសេចក្តីព្រាងអាទិភាពនៃលទ្ធផលគន្លឹះប្រចាំឆ្នាំ នៃអង្គភាពទទួលខុសត្រូវ,Function,Bachelor Degree,Term,CamHR,ចាប់តាំងពីចុងឆ្នាំ២០០៤ មក រាជរដ្ឋាភិបាលកម្ពុជាដោយមានក្រសួងសេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុជាសេនាធិការ បានចាប់អនុវត្តកម្មវិធីកែទម្រង់ការគ្រប់គ្រងហិរញ្ញវត្ថុសាធារណៈជាជំហានៗ មានរយៈពេលវែង ដែលមានគោលបំណងកែលម្អប្រព័,Job Requirements * ឯកសាភ្ជាប់ • បេក្ខជន ឬបេក្ខនារីដែលមានចំណាប់អារម្មណ៍ សូមមកដាក់ពាក្យសុំចូលបម្រើការងារដោយភ្ជាប់មកជាមួយនូវ៖ • ប្រវត្តិរូបសង្ខេប (CV) និង Cover Letter (ជាភាសាអង់គ្លេស) • សញ្ជាបត្របញ្ជាក់,https://www.camhr.com/a/job/10646103?title=%E1%9E%98%E1%9E%93%E1%9F%92%E1%9E%8F%E1%9F%92%E1%9E%9A%E1%9E%B8%E1%9E%87%E1%9F%86%E1%9E%93%E1%9E%B6%E1%9E%89%20%E1%9E%85%E1%9F%86%E1%9E%93%E1%9E%BD%E1%9E%93%20%E1%9F%A2%E1%9E%9A%E1%9E%BC%E1%9E%94%20%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%9A%E1%9E%B6%E1%9E%94%E1%9F%8B%E1%9E%95%E1%9F%92%E1%9E%93%E1%9F%82%E1%9E%80%E1%9E%A2%E1%9E%93%E1%9F%92%E1%9E%8F%E1%9E%9A%E1%9E%80%E1%9F%82%E1%9E%91%E1%9E%98%E1%9F%92%E1%9E%9A%E1%9E%84%E1%9F%8B
10646060,Marketing Assistant (1 Position),"Unident Co., Ltd",Health/Personal Care,Phnom Penh,Negotiable,Full Time,Function,Chat Now,Term,CamHR,- Creating content for the company which will be published in the company's websites and social media pages - Responding to customer on social media pages - Ability to attention to detail along with a,"Job Requirements - Outgoing, honest, hard working - A Bachelor’s degree in communications, English, marketing or other related fields - Negotiable salary Interested Candidates, please submit your resu",https://www.camhr.com/a/job/10646060?title=Marketing%20Assistant%20(1%20Position)
10646034,Marketing,"TIQE (CAMBODIA) EQUIPMENT CO.,LTD",Manufacturing,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"- Plan and execute digital marketing campaigns (Facebook, TikTok, YouTube) - Create content and visuals to promote industrial products - Analyze marketing performance and prepare monthly reports - Sup","Job Requirements - Knowledge or experience in digital marketing and social media management - Ability to create and edit content (photos, videos, or graphics) - Skills in data analysis and report writ",https://www.camhr.com/a/job/10646034?title=%20Marketing
10644425,"Network/IT Engineer / 网络 / IT 工程师, Salary $1,500 - $5,000 - Pailin Province / Takeo Province 拜林省 / 财通省",Lu Yun Network Technology Limited 陸雲網絡科技有限公司,Information Technology,Pailin,Negotiable,如在其他公司表现优秀，薪资不符预期者，可协助垫付解约费用并上调薪资,Function,No limitations,Term,CamHR,【Job Openings｜招聘岗位及人数】 招聘岗位及人数 1. China Network Equipment Maintenance Engineer：2 中国网络设备维护工程师：2 名 2. Cambodian IT Network Engineer (Fluent in Chinese)：2 柬埔寨籍 IT 网络工程师（会中文）：2 名 3. Cambodian IT Network E,Job Requirements 【Job Requirements｜任职要求（All skills listed below are mandatory）】 【以下技能均为必备条件，本岗位不接受实习或无经验人员】 • Possess solid networking fundamentals with hands-on experience 具备扎实的网络基础，并有实际部署与运维经验 • Pro,"https://www.camhr.com/a/job/10644425?title=Network/IT%20Engineer%20/%20%E7%BD%91%E7%BB%9C%20/%20IT%20%E5%B7%A5%E7%A8%8B%E5%B8%88,%20Salary%20$1,500%20-%20$5,000%20-%20Pailin%20Province%20/%20Takeo%20Province%20%E6%8B%9C%E6%9E%97%E7%9C%81%20/%20%E8%B4%A2%E9%80%9A%E7%9C%81"
10645902,Senior Talent Acquisition Officer x1,"TUNSAI SOLUTIONS CO., LTD.",General Business Services,Phnom Penh,Negotiable,Full Time,Function,● Native Khmer speaker with good proficiency in English (both written and spoken).,Chat Now,CamHR,"As a Talent Acquisition at Tunsai, you will play a key role in attracting and hiring the right talent across both operational and back-office functions. From frontline technicians and laborers to admi","Job Requirements * Qualifications & Skills ● Native Khmer speaker with good proficiency in English (both written and spoken). ● Bachelor’s degree in Human Resources, Business Administration, or relate",https://www.camhr.com/a/job/10645902?title=Senior%20Talent%20Acquisition%20Officer%20x1
10646033,Customer service,"TIQE (CAMBODIA) EQUIPMENT CO.,LTD",Manufacturing,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,-Make weekly working plan on Google Drive+ Working -Connect-follow up working between team sale & team service and customer. -Understanding the products and goods the company supplies. -Consultant cus,"Job Requirements -Experience: related experience or don’t have also accept, -can use computer word excel email -Require : Good at English *Salary: Negotiation *Working time: 08.00 – 17.00 from Mon to ",https://www.camhr.com/a/job/10646033?title=Customer%20service
10646029,Service admin,"TIQE (CAMBODIA) EQUIPMENT CO.,LTD",Manufacturing,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"-Make weekly working plan on Google Drive+ Working -connect -follow up working between team and customer -Understanding the products and goods the company supplies. -Prepare quotations, handover minut","Job Requirements -related experience or don’t have also accept, -can use computer wordexcel email -Require: Good at English * Salary: Negotiation * Working time: 08.00 – 17.00 from Mon to Fri and 08.0",https://www.camhr.com/a/job/10646029?title=Service%20admin
10645900,Sales Manager x 1,"TUNSAI SOLUTIONS CO., LTD.",General Business Services,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Chat Now,CamHR,"As a Sales Manager, you will be responsible for driving revenue growth by building strong relationships with both institutional (government & corporate) and individual (household) clients. You’ll iden","Job Requirements * Qualifications & Skills ● 3+ years of sales experience, ideally across both B2B (institutions) and B2C (households or retail). ● Confidence and professionalism when speaking with cl",https://www.camhr.com/a/job/10645900?title=Sales%20Manager%20x%201
10645901,Sales Executive x 2,"TUNSAI SOLUTIONS CO., LTD.","● Strong interpersonal and communication skills, both verbal and written.",Phnom Penh,Negotiable,● Maintain accurate client records and consultation history in the CRM system.,Function,Bachelor Degree,Chat Now,CamHR,"Position Overview: As a Sales Consultant at Tunsai, you will act as a trusted advisor to clients, helping them identify and select the most suitable cleaning and maintenance solutions for their proper","Job Requirements ● Bachelor’s degree in Business, Marketing, or a related field (preferred but not mandatory). ● 1–2 years of experience in sales, customer service, or consulting roles (experience in ",https://www.camhr.com/a/job/10645901?title=Sales%20Executive%20x%202
10643080,Senior Logistic Officer,"HANUMAN AUTO TRADING CO.,LTD",Automotive - Vehicle,Phnom Penh,$500-$999,Full Time,Function,Bachelor Degree,Term,CamHR,"• Prepare daily tracking report to warehouse • Prepare daily tracking report to warehouse • Prepare invoice, packing list and other document to clearance agency • Tracking shipment from dispatch until","Job Requirements • Hold at least Bachelor’s degree in accounting, Business administration, Logistics or related fields. • Knowledge functional of accounting • At least 2 to 3 years of experience in ro",https://www.camhr.com/a/job/10643080?title=Senior%20Logistic%20Officer
